和名,学名,成虫発生時期,成虫発生時期に関する備考
アマミシャクドウクチバ,Mecodina sugii Seino, 2003,3月、5月、8月,
アマミノコメセダカヨトウ,Orthogonia sugii Seino, 1992,4月下旬～6月下旬、8月,"年2化と推定される。"
アミメギンウワバ,Thysanoplusia daubei (Boisduval, 1840),9月～11月,
アミメケンモン,Lophonycta confusa (Leech, 1889),7月～8月,"年1化。"
アミメヒメヨトウ,Iambia transversa (Moore, 1882),5月～6月、8月～9月,"年2化。"
アミメツマキリヨトウ,Callopistria aethiops Butler, 1878,3月～11月,"年2化以上。"
アヤシラフクチバ,Sypnoides hercules (Butler, 1881),6月～8月,"年1回。卵で越冬する。"
アヤナミツマキリヨトウ,Callopistria placodoides (Guenée, 1852),7月～10月,"年2化と推定される。"
アヤモクメキリガ,Xylena fumosa (Butler, 1878),11月～4月,"年1化。成虫で越冬する。"
アルプスギンウワバ,Syngrapha ottolenguii (Dyar, 1903),7月～8月,"年1化。"
アルプスクロヨトウ,Apamea rubrirena (Treitschke, 1825),7月下旬～8月,"年1化。"
イシカリヨトウ,Apamea oblonga (Haworth, 1809),7月下旬～9月上旬,"年1化。幼虫越冬。"
イセキリガ,Agrochola sakabei Sugi, 1980,10月下旬～11月,"年1化。成虫越冬はしない。"
イタヤキリガ,Cosmia trapezina (Linnaeus, 1758),6月～10月,"年1化。"
イチゴキリガ,Orbona fragariae (Vieweg, 1790),11月～4月,"年1化。成虫で越冬する。"
イチモジキノコヨトウ,Bryophila granitalis (Butler, 1881),6月～9月,"年1化と思われる。若齢幼虫で越冬する。"
イチモジヒメヨトウ,Xylomoia fusei Sugi, 1976,5月,
イナズマヒメクチバ,Mecodina albodentata (Swinhoe, 1895),4月～10月,
イネキンウワバ,Plusia festucae (Linnaeus, 1758),6月～9月,"年2化。幼虫越冬する。"
イネヨトウ,Sesamia inferens (Walker, 1856),5月～9月,"多いところで年3化。"
イブシギンウワバ,Chrysodeixis heberachis (Strand, 1920),3月～,"石垣島では3月から普通に見られる。"
イボタケンモン,Craniophora ligustri (Denis & Schiffermüller, 1775),7月～9月,"年2化と思われる。蛹で越冬する。"
イラクサギンウワバ,Trichoplusia ni (Hübner, 1803),通年,"熱帯・亜熱帯では通年発生。日本では越冬できないと思われる。"
イラクサマダラウワバ,Abrostola triplasia (Linnaeus, 1758),4月～5月、7月～9月,"年2回。暖地では3化の可能性もある。蛹で越冬する。"
ウグイスセダカヨトウ,Mormo cyanea Sugi, 1982,7月～8月,"年1化と思われる。"
ウスアオキノコヨトウ,Stenoloba clara (Leech, 1889),7月～8月,"年1化と思われる。"
ウスアオモンコヤガ,Bryophilina mollicula (Graeser, 1889),5月～6月,
ウスアオヨトウ,Polyphaenis subviridis (Butler, 1878),5月～6月,"年1化。幼虫越冬。"
ウスイロケンモン,Thalatha japonica Sugi, 1982,5月～6月、7月～9月,"年2化。"
ウスイロフサヤガ,Atacira melanephra (Hampson, 1912),7月,
ウスオビクチバ,Mocis frugalis (Fabricius, 1775),3月～11月,
ウスオビヤガ,Pyrrhia bifasciata (Staudinger, 1888),7月～9月,"幼虫は8～9月に見られ、老熟すると土中に入って蛹化し、そのまま越冬する。"
ウスグロクチバ,Avitta puncta Wileman, 1911,3月～9月,"成虫で越冬すると推定される。"
ウスグロシマヨトウ,Eucarta arcta (Lederer, 1853),6月～7月,
ウスグロヨトウ,Athetis funesta (Staudinger, 1888),5月下旬～6月中旬,"年1化。"
ウスグロマダラウワバ,Abrostola sugii Dufay, 1960,5月～6月、7月～8月,"年2化。"
ウスクモヨトウ,Pabulatrix pabulatricula (Brahm, 1791),7月下旬～8月,"年1化。"
ウスチャマエモンコヤガ,Chorsia costimacula (Oberthür, 1880),6月～9月,"年2化と考えられている。"
ウスタビガ,Rhodinia fugax (Butler, 1877),10月～11月,"年1化。卵で越冬する。"
ウスハイイロケンモン,Subleuconycta palshkovi (Filipjev, 1937),6月～7月,"年1化。"
ウスベニホシコヤガ,Ozarba brunnea (Leech, 1900),6月～8月,
ウスホシミミヨトウ,Condica pallescens (Sugi, 1970),6月、9月,
ウスムラサキケンモン,Acronicta subpurpurea (Matsumura, 1926),6月～7月,"年1化。"
ウスムラサキヨトウ,Eucarta virgo (Treitschke, 1835),6月、8月,"年2化。"
ウスジロケンモン,Acronicta lutea (Bremer & Grey, 1852),5月～6月,"年1化。"
ウチジロコヤガ,Chorsia albicincta (Hampson, 1898),5月～9月,
ウンモンキノコヨトウ,Stenoloba manleyi (Leech, 1889),7月～10月,"年1化と思われる。"
ウンモンクチバ,Mocis annetta (Butler, 1878),5月～6月、8月～9月,"年2回。蛹で越冬する。"
エグリキリガ,Teratoglaea pacifica Sugi, 1958,10月～5月,"年1化。成虫で越冬する。"
エゾキンウワバ,Euchalcia sergia (Oberthür, 1884),6月下旬～7月,"年1化。"
エゾキイロキリガ,Tiliacea japonago (Wileman & West, 1929),9月下旬～10月,
エゾギクキンウワバ,Ctenoplusia albostriata (Bremer & Grey, 1853),通年,"熱帯・亜熱帯では通年発生。温帯でも条件がよければ越冬可能。"
エゾクロギンガ,Chasminodes atratus (Butler, 1884),7月～8月,"年1化。"
エゾコヤガ,Chorsia noloides (Butler, 1879),5月～9月,
エゾサクラケンモン,Acronicta strigosa (Denis & Schiffermüller, 1775),6月、8月,"年2化と思われる。"
エゾスジヨトウ,Doerriesa striata (Staudinger, 1900),6月～8月,"年2化と推定される。"
エゾヒサゴキンウワバ,Diarsia chrysitis (Linnaeus, 1758),6月～8月,"年2化。幼虫越冬。北方では年1化。"
エゾミツボシキリガ,Eupsilia transversa (Hufnagel, 1766),10月～5月,"年1化。成虫で越冬する。"
エゾモクメキリガ,Brachionycha nubeculosa (Esper, 1785),3月下旬～5月,"年1化。"
エチゴハガタヨトウ,Asidemia inexpecta (Sugi, 1963),5月～6月、8月～10月,"年2化。"
オオウスヅマカラスヨトウ,Amphipyra erebina Butler, 1878,7月～9月,"同属他種よりも早い9月中に姿を消す。"
オオウンモンクチバ,Mocis undata (Fabricius, 1775),3月～9月,"日本本土では年2回。"

アオホソヤガ,"Lophoptera acuda (Swinhoe, 1906)",6月,"""1981年6月7日に採集された1♂しか知られていない。"""
アカスジキヨトウ,"Mythimna postica (Hampson, 1905)",5月～6月、8月～9月,"""年2化。亜終齢態で越冬する。"""
アサギリヨトウ,"Sideridis incommoda (Staudinger, 1888)",8月,"""年1回。蛹で越冬する。"""
アサマウスモンヤガ,"Xestia descripta (Bremer, 1861)",7月～8月,"""年1化。若齢幼虫で越冬する。"""
アトウスヤガ,"Actebia fennica (Tauscher, 1806)",8月,"""年1化。"""
アトジロアルプスヤガ,"Xestia sincera (Herrich-Schäffer, 1851)",7月下旬,"""年1回。ヨーロッパ北部では成虫になるまで2年を要する。"""
アトジロキヨトウ,"Mythimna compta (Moore, 1881)",3月～10月,
アブラキリガ,"Lithophane consocia (Borkhausen, 1792)",10月～5月,"""年1化。成虫で越冬する。"""
アマミキヨトウ,"Mythimna inouei (Sugi, 1965)",3月～10月,"""年に数回。"""
アルプスヤガ,"Xestia speciosa (Hübner, 1813)",7月下旬～9月中旬,"""年1化。高山帯での発生時期。"""
アワヨトウ,"Mythimna separata (Walker, 1865)",4月～11月,"""4～5回。幼虫態で越冬することが多い。"""
ウスアカキヨトウ,"Mythimna curvilinea (Hampson, 1891)",3月,
ウスイロキヨトウ,"Mythimna inanis (Oberthür, 1880)",6月,"""年1回。"""
ウスベニキヨトウ,"Mythimna pudorina (Denis & Schiffermüller, 1775)",7月～8月,"""年1化。5月の採集例もある。中齢幼虫で越冬する。"""
ウスムラサキウスモンヤガ,"Ericeia pertendens (Walker, 1858)",4月～5月、7月～12月,"""日本本土では年2回発生"""
エゾオオバコヤガ,"Diarsia dahlii (Hübner, 1813)",8月～9月,"""年1化。幼虫越冬する。"""
エゾチャイロヨトウ,"Lacanobia splendens (Hübner, 1808)",5月、7月～8月,"""年2回。春と秋に発生。"""
オオウスクモヨトウ,"Euxoa ochrogaster (Guenée, 1852)",8月,"""高地での採集。越夏する。"""
